External;Polygons;IV;Samples;Base;Class;Producer;User;F1
Baseline;70;YES;1000;Base 1;A_grassland;0,431192661;0,305194805;0,357414449
Baseline;70;YES;1000;Base 1;baresoil;0,590062112;0,329861111;0,423162584
Baseline;70;YES;1000;Base 1;broadleaf;0,331950207;0,32;0,32586558
Baseline;70;YES;1000;Base 1;conifers;0,368131868;0,492647059;0,421383648
Baseline;70;YES;1000;Base 1;irrigated;0,343333333;0,304733728;0,322884013
Baseline;70;YES;1000;Base 1;N_grassland;0,117845118;0,16509434;0,137524558
Baseline;70;YES;1000;Base 1;rainfed;0,205357143;0,369477912;0,263988522
Baseline;70;YES;1000;Base 1;rice field;0,659090909;0,608923885;0,633015007
Baseline;70;YES;1000;Base 1;S_vegetation;0,331306991;0,612359551;0,429980276
Baseline;70;YES;1000;Base 1;shrubland;0,439613527;0,234536082;0,305882353
Baseline;70;YES;1000;Base 1;urban;0,875;0,379661017;0,529550827
Baseline;70;YES;1000;Base 1;water;0,780701754;0,64028777;0,703557312
Baseline;70;YES;1000;Base 1;wetland;0,454545455;0,714285714;0,555555556
Baseline;70;YES;1000;Base 1;A_grassland;0,32034632;0,342592593;0,331096197
Baseline;70;YES;1000;Base 1;baresoil;0,498422713;0,528428094;0,512987013
Baseline;70;YES;1000;Base 1;broadleaf;0,216138329;0,433526012;0,288461538
Baseline;70;YES;1000;Base 1;conifers;0,48136646;0,475460123;0,478395062
Baseline;70;YES;1000;Base 1;irrigated;0,407142857;0,167155425;0,237006237
Baseline;70;YES;1000;Base 1;N_grassland;0,163522013;0,282608696;0,207171315
Baseline;70;YES;1000;Base 1;rainfed;0,123036649;0,188;0,148734177
Baseline;70;YES;1000;Base 1;rice field;0,704819277;0,860294118;0,774834437
Baseline;70;YES;1000;Base 1;S_vegetation;0,214814815;0,17791411;0,194630872
Baseline;70;YES;1000;Base 1;shrubland;0,261627907;0,193133047;0,222222222
Baseline;70;YES;1000;Base 1;urban;0,86036036;0,456937799;0,596875
Baseline;70;YES;1000;Base 1;water;0,901098901;0,928301887;0,914498141
Baseline;70;YES;1000;Base 1;wetland;0,435185185;0,295597484;0,352059925
Baseline;70;YES;1000;Base 1;A_grassland;0,372180451;0,334459459;0,352313167
Baseline;70;YES;1000;Base 1;baresoil;0,742105263;0,394957983;0,515539305
Baseline;70;YES;1000;Base 1;broadleaf;0,371929825;0,364261168;0,368055556
Baseline;70;YES;1000;Base 1;conifers;0,398089172;0,468164794;0,430292599
Baseline;70;YES;1000;Base 1;irrigated;0,156542056;0,406060606;0,225969646
Baseline;70;YES;1000;Base 1;N_grassland;0,171875;0,157706093;0,164485981
Baseline;70;YES;1000;Base 1;rainfed;0,25304878;0,32046332;0,282793867
Baseline;70;YES;1000;Base 1;rice field;0,643636364;0,823255814;0,72244898
Baseline;70;YES;1000;Base 1;S_vegetation;0,277602524;0,533333333;0,365145228
Baseline;70;YES;1000;Base 1;shrubland;0,235294118;0,095238095;0,13559322
Baseline;70;YES;1000;Base 1;urban;0,888888889;0,560509554;0,6875
Baseline;70;YES;1000;Base 1;water;0,690789474;0,905172414;0,78358209
Baseline;70;YES;1000;Base 1;wetland;0,886363636;0,349775785;0,501607717
Baseline;70;YES;1000;Base 1;A_grassland;0,723404255;0,18579235;0,295652174
Baseline;70;YES;1000;Base 1;baresoil;0,439903846;0,588424437;0,50343879
Baseline;70;YES;1000;Base 1;broadleaf;0,47311828;0,396396396;0,431372549
Baseline;70;YES;1000;Base 1;conifers;0,356707317;0,344117647;0,350299401
Baseline;70;YES;1000;Base 1;irrigated;0,39084507;0,363934426;0,376910017
Baseline;70;YES;1000;Base 1;N_grassland;0,115207373;0,126903553;0,120772947
