Base;Class;F1
Base2;baresoil;0,447174447
Base2;baresoil;0,447174447
Base2;baresoil;0,523227384
Base2;baresoil;0,397058824
Base2;baresoil;0,398576512
Base2;baresoil;0,737654321
Base2;baresoil;0,5
Base2;baresoil;0,819956616
Base2;baresoil;0,573476703
Base2;baresoil;0,699205448
Base2;baresoil;0,661596958
Base2;baresoil;0,635051546
Base2;baresoil;0,648011782
Base2;baresoil;0,491467577
Base2;baresoil;0,596912521
Base2;baresoil;0,829827916
Base2;broadleaf;0,264765784
Base2;broadleaf;0,264765784
Base2;broadleaf;0,416
Base2;broadleaf;0,310838446
Base2;broadleaf;0,302290076
Base2;broadleaf;0,309859155
Base2;broadleaf;0,250696379
Base2;broadleaf;0,295552367
Base2;broadleaf;0,403965304
Base2;broadleaf;0,315049226
Base2;broadleaf;0,337777778
Base2;broadleaf;0,257425743
Base2;broadleaf;0,259097525
Base2;broadleaf;0,231481481
Base2;broadleaf;0,289156627
Base2;broadleaf;0,307004471
Base2;conifers;0,270096463
Base2;conifers;0,270096463
Base2;conifers;0,353765324
Base2;conifers;0,310861423
Base2;conifers;0,320819113
Base2;conifers;0,227848101
Base2;conifers;0,285714286
Base2;conifers;0,488986784
Base2;conifers;0,37295082
Base2;conifers;0,296416938
Base2;conifers;0,458628842
Base2;conifers;0,483766234
Base2;conifers;0,401574803
Base2;conifers;0,348336595
Base2;conifers;0,370879121
Base2;conifers;0,349056604
Base2;eucalyptos;0,474967908
Base2;eucalyptos;0,474967908
Base2;eucalyptos;0,175152749
Base2;eucalyptos;0,078212291
Base2;eucalyptos;0,530271399
Base2;eucalyptos;0,406113537
Base2;eucalyptos;0,274268105
Base2;eucalyptos;0,099315068
Base2;eucalyptos;0,346153846
Base2;eucalyptos;0,261052632
Base2;eucalyptos;0,191869919
Base2;eucalyptos;0,301939058
Base2;eucalyptos;0,421301775
Base2;eucalyptos;0,181818182
Base2;eucalyptos;0,13836478
Base2;eucalyptos;0,227758007
Base2;grassland;0,452950558
Base2;grassland;0,452950558
Base2;grassland;0,585253456
Base2;grassland;0,418212479
Base2;grassland;0,419301165
Base2;grassland;0,375221239
Base2;grassland;0,406533575
Base2;grassland;0,568553459
Base2;grassland;0,34856176
Base2;grassland;0,393063584
Base2;grassland;0,35347432
Base2;grassland;0,420091324
Base2;grassland;0,413194444
Base2;grassland;0,439102564
Base2;grassland;0,455696203
Base2;grassland;0,351851852
Base2;irrigated;0,677033493
